date,active_count
2020-01-01,0
2020-01-02,27
2020-01-03,51
2020-01-04,52
2020-01-05,52
2020-01-06,89
2020-01-07,106
2020-01-08,128
2020-01-09,149
2020-01-10,167
2020-01-11,169
2020-01-12,171
2020-01-13,236
2020-01-14,255
2020-01-15,283
2020-01-16,310
2020-01-17,332
2020-01-18,338
2020-01-19,338
2020-01-20,387
2020-01-21,435
2020-01-22,468
2020-01-23,505
2020-01-24,523
2020-01-25,527
2020-01-26,533
2020-01-27,596
2020-01-28,637
2020-01-29,661
2020-01-30,677
2020-01-31,694
2020-02-01,695
2020-02-02,697
2020-02-03,701
2020-02-04,701
2020-02-05,708
2020-02-06,708
2020-02-07,700
2020-02-08,700
2020-02-09,703
2020-02-10,708
2020-02-11,710
2020-02-12,707
2020-02-13,707
2020-02-14,705
2020-02-15,705
2020-02-16,707
2020-02-17,709
2020-02-18,710
2020-02-19,712
2020-02-20,703
2020-02-21,703
2020-02-22,704
2020-02-23,705
2020-02-24,705
2020-02-25,704
2020-02-26,699
2020-02-27,702
2020-02-28,700
2020-02-29,702
2020-03-01,702
2020-03-02,703
2020-03-03,703
2020-03-04,704
2020-03-05,703
2020-03-06,694
2020-03-07,696
2020-03-08,698
2020-03-09,693
2020-03-10,695
